movie_name,movie_duration,movie_genre,movie_director,movie_release_year
Le salaire de la peur,131,Adventure,Henri-Georges Clouzot,1953
Max Điên: Con Đường Tử Thần,120,Action,George Miller,2015
Sherlock Jr.,45,Action,Buster Keaton,1924
Công Ty Quái Vật,92,Animation,Pete Docter,2001
Mr. Smith Goes to Washington,129,Comedy,Frank Capra,1939
Hàm Cá Mập,124,Adventure,Steven Spielberg,1975
Bí Kíp Luyện Rồng,98,Animation,Dean DeBlois,2010
Mary Và Max,92,Animation,Adam Elliot,2009
Cuộc Đua Lịch Sử,152,Action,James Mangold,2019
Phong Ấn Thứ Bảy,96,Drama,Ingmar Bergman,1957
Room,118,Drama,Lenny Abrahamson,2015
Bá Tước Lebowski,117,Comedy,Joel Coen,1998
Chú Chuột Đầu Bếp,111,Animation,Brad Bird,2007
Câu Chuyện Tokyo,136,Drama,Yasujirô Ozu,1953
Tay Đấm Huyền Thoại,120,Drama,John G. Avildsen,1976
Khách Sạn Rwanda,121,Biography,Terry George,2004
Logan: Người Sói,137,Action,James Mangold,2017
Tiêu Điểm,129,Biography,Tom McCarthy,2015
Trung Đội,120,Drama,Oliver Stone,1986
Bài Ca Khổ Hình Của Joan of Arc,110,Biography,Carl Theodor Dreyer,1928
Kẻ Hủy Diệt,107,Action,James Cameron,1984
Jai Bhim,164,Crime,T.J. Gnanavel,2021
Trước Lúc Hoàng Hôn,80,Drama,Richard Linklater,2004
Đường Đua Nghẹt Thở,123,Action,Ron Howard,2013
Network,121,Drama,Sidney Lumet,1976
The Best Years of Our Lives,170,Drama,William Wyler,1946
Quỷ Ám,122,Horror,William Friedkin,1973
Hãy Đứng Bên Tôi,89,Adventure,Rob Reiner,1986
La haine,98,Crime,Mathieu Kassovitz,1995
Cướp Biển Vùng Caribê: Lời Nguyền Của Tàu Ngọc Trai Đen,143,Action,Gore Verbinski,2003
Phù Thủy Xứ Oz,102,Adventure,Victor Fleming,1939
Gia Đình Siêu Nhân,115,Animation,Brad Bird,2004
Về Với Thiên Nhiên,148,Adventure,Sean Penn,2007
Hachiko: Chú Chó Trung Thành,93,Biography,Lasse Hallström,2009
To Be or Not to Be,99,Comedy,Ernst Lubitsch,1942
Người Hầu Gái,145,Drama,Park Chan-wook,2016
Cha Và Con Của Tôi,112,Drama,Çagan Irmak,2005
La battaglia di Algeri,121,Drama,Gillo Pontecorvo,1966
Ngày Chuột Chũi,101,Comedy,Harold Ramis,1993
The Grapes of Wrath,129,Drama,John Ford,1940
Amores perros,154,Drama,Alejandro G. Iñárritu,2000
Giai Điệu Hạnh Phúc,172,Biography,Robert Wise,1965
Rebecca,130,Drama,Alfred Hitchcock,1940
Cool Hand Luke,127,Crime,Stuart Rosenberg,1967
Người Máy Khổng Lồ,86,Animation,Brad Bird,1999
Pather Panchali,125,Drama,Satyajit Ray,1955
Người Giúp Việc,146,Drama,Tate Taylor,2011
Chuyện Xảy Ra Trong Đêm,105,Comedy,Frank Capra,1934
400 Cú Đấm,99,Crime,François Truffaut,1959
Aladdin,90,Animation,Ron Clements,1992
Khiêu Vũ Với Bầy Sói,181,Adventure,Kevin Costner,1990
Gangs of Wasseypur,321,Action,Anurag Kashyap,2012
Cuộc Sống Của Brian,94,Comedy,Terry Jones,1979
